codigo,nome,categoria,rua,predio,nivel,ap,validade,data_armazenado,quantidade,numero_lote,tipo,palete
618,ACC VDC GASTRO INTESTINAL LOW FAT 1.5KG,Veterinária,1,1,0,1,15/07/2026,10/09/2025,1,,AP,MEIO
1296,ACC VDC SATIETY SMALL DOG 1.5KG,Veterinária,1,1,0,2,31/08/2026,04/07/2025,1,,AP,MEIO
1056,ACC VDC DIABETIC 1.5KG,Veterinária,1,1,0,3,29/08/2026,11/06/2025,1,,AP,MEIO
1056,ACC VDC DIABETIC 1.5KG,Veterinária,1,1,0,3,30/10/2026,11/06/2025,1,,AP,MEIO
681,ACC VDC SATIETY SUP 1.5KG,Veterinária,1,1,0,4,24/10/2026,09/07/2025,1,,AP,MEIO
681,ACC VDC SATIETY SUP 1.5KG,Veterinária,1,1,0,4,15/11/2026,09/07/2025,1,,AP,MEIO
157,ACC VDC GASTRO INTESTINAL 2KG,Veterinária,1,1,2,1,21/11/2026,09/07/2025,1,,AE,INTEIRO
1020,ACC VDC HYPOALLERGENIC SMALL 2KG,Veterinária,1,1,2,2,05/08/2026,23/06/2025,1,,AE,INTEIRO
619,ACC FHN EXIGENT 1.5KG,Alimentação,1,2,0,1,03/09/2026,09/07/2025,1,,AP,MEIO
619,ACC FHN EXIGENT 1.5KG,Alimentação,1,2,0,1,14/09/2026,09/07/2025,1,,AP,MEIO
523,ACC FHN STERILISED 1.5KG,Alimentação,1,2,0,2,03/09/2026,25/06/2025,1,,AP,MEIO
698,ACC FHN STERILISED 7+ 1.5KG,Alimentação,1,2,0,3,11/10/2026,09/07/2025,1,,AP,MEIO
698,ACC FHN STERILISED 7+ 1.5KG,Alimentação,1,2,0,3,16/11/2026,09/07/2025,1,,AP,MEIO
594,ACC FHN KITTEN 1.5KG,Alimentação,1,2,0,4,08/08/2026,,1,,AP,MEIO
1333,ACC VDC URINARY SMALL DOG 2KG,Veterinária,1,2,2,1,31/10/2026,26/06/2025,1,,AE,INTEIRO
523,ACC FHN STERILISED 1.5KG,Alimentação,1,2,2,2,11/09/2026,06/06/2025,1,,AE,INTEIRO
1020,ACC VDC HYPOALLERGENIC SMALL 2KG,Veterinária,1,3,0,1,14/04/2026,09/07/2025,1,,AP,MEIO
1333,ACC VDC URINARY SMALL DOG 2KG,Veterinária,1,3,0,2,11/10/2026,09/07/2025,1,,AP,MEIO
